"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\controllers\factor_controller.dart", "Dart", 127, 11, 11, 149
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\controllers\indicator_controller.dart", "Dart", 121, 20, 11, 152
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\controllers\project_controller.dart", "Dart", 109, 8, 13, 130
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\controllers\score_controller.dart", "Dart", 79, 7, 9, 95
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\enums\project_status.dart", "Dart", 1, 0, 1, 2
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\enums\user_nivel.dart", "Dart", 4, 0, 1, 5
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\firebase_options.dart", "Dart", 49, 12, 3, 64
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\interfaces\database_interface.dart", "Dart", 9, 2, 1, 12
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\interfaces\provider_interface.dart", "Dart", 8, 2, 1, 11
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\main.dart", "Dart", 56, 3, 5, 64
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\models\factor_model.dart", "Dart", 54, 57, 28, 139
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\models\indicator_model.dart", "Dart", 41, 0, 5, 46
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\models\project_model.dart", "Dart", 43, 0, 5, 48
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\models\score_model.dart", "Dart", 38, 6, 7, 51
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\models\user_model.dart", "Dart", 29, 1, 6, 36
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\models\user_projects_model.dart", "Dart", 25, 1, 5, 31
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\providers\factor_provider.dart", "Dart", 43, 3, 10, 56
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\providers\indicator_provider.dart", "Dart", 46, 4, 10, 60
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\providers\project_provider.dart", "Dart", 47, 4, 11, 62
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\providers\score_provider.dart", "Dart", 42, 2, 9, 53
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\screens\drag_test.dart", "Dart", 0, 91, 8, 99
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\screens\factor_page\factor.dart", "Dart", 118, 67, 16, 201
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\screens\factor_page\factor_form.dart", "Dart", 120, 10, 7, 137
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\screens\home_page.dart", "Dart", 8, 0, 3, 11
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\screens\indicator_page\indicator.dart", "Dart", 52, 1, 6, 59
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\screens\indicator_page\indicator_form.dart", "Dart", 117, 105, 15, 237
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\screens\login_page.dart", "Dart", 147, 358, 12, 517
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\screens\project_page\project_card.dart", "Dart", 179, 32, 8, 219
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\screens\project_page\projects_page.dart", "Dart", 342, 81, 12, 435
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\screens\project_page\register_project.dart", "Dart", 73, 138, 13, 224
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\screens\score_page\score.dart", "Dart", 114, 52, 14, 180
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\screens\score_page\score_page.dart", "Dart", 166, 30, 14, 210
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\utils\app_colors.dart", "Dart", 10, 0, 2, 12
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\utils\first_populate.dart", "Dart", 23, 5, 3, 31
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\utils\get_color_checkbox.dart", "Dart", 12, 0, 2, 14
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\utils\pallete.dart", "Dart", 16, 1, 2, 19
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\widgets\custom_button.dart", "Dart", 34, 2, 5, 41
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\widgets\custom_float_button.dart", "Dart", 14, 0, 4, 18
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\widgets\custom_icon_button.dart", "Dart", 20, 0, 4, 24
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\widgets\custom_list_tile.dart", "Dart", 55, 3, 4, 62
"c:\Users\danil\Documents\Flutter\projeto-esg-gui\lib\widgets\side_bar_proxy.dart", "Dart", 48, 1, 7, 56
"Total", "-", 2639, 1120, 313, 4072
